query_id,query_text,triggered_ai_overview
8151135,how to use a pocket knife safely,n
1087139,why human centered design principles are important,b
466629,how many pixels of slight padding are allowed for a bootstrap table?,b
3541490,how to get ie version,b
3532885,how do mood rings change,n
2619006,why boycott beijing 2022,b
1999994,how many ships did the kriegsmarine have,y
1079505,when is project runway coming back,y
8752370,when is school out for the summer,b
7213277,what is in dragon fruit starbucks,b
1074155,what is hydrogen bonding?,y
8137437,how does draft kings payout work,b
5676066,what food should i avoid when i'm taking antibiotics?,b
468540,how to add css in cshtml page,n
468003,how old is claire foy,n
1076238,what is the theme of road not taken,y
2612541,when two or more are gathered bible,y
3239904,can repeated hits to the head cause damage,b
6610783,how to give o2 my pac code,b
8140718,how much water should an adult drink,y
467059,how much do jobs pay,b
7218745,when is law enforcement day,n
2605995,what is body in white in automotive,b
8743863,what does it mean to be moonstruck,y
7213162,what is gsave in gcash,y
5675381,what does flood factor 5/10 mean,n
2615012,which is healthier ground chicken or turkey,y
5686603,which construction sites are more likely to be affected by biological hazards?,b
8137092,how do you factory reset a compaq laptop,y
3542344,how to install aws cdk,n
172657,can you use ray tracing on java,b
2005766,how to get die machine,n
5676262,what happened to notch minecraft,b
4156247,why does kylie jenner look so old,b
3542259,how to inherit permissions sharepoint,b
2004462,how to do face plate turning on a wood lathe,n
2611563,when both of us are gaslighting,b
4152450,which of these is not like the others?,b
1079423,when is bts next tour 2022,b
1075913,what is the minimum typing speed for jobs,b
5073656,how to change tik tok bio on pc,n
1077152,what should i get her for her birthday,y
5067722,how do i install telegram,y
4774642,can a agencey supevise contact for children,n
8141192,how tall is 4 ft,n
3538456,how to change backgroun in zoom,y
471944,how to find external drive on laptop,y
6309940,can constipation cause gas pains,y
7210750,what folders does onedrive automatically sync,b
1827386,does latanoprost cause headaches,y
